Date,Total Tx Count,Total Fees,Total Input Value,Total Output Value,Total BTC Created,Total BTC Sent,Largest Amt Sent,Avg Transaction Fee,Efficiency Ratio
2023-12-06,467795,293.66114146,1014931.20348593,1014637.54234447,76.85376189,1014637.54234447,16318.14752927,0.00062776,0.99971066
2023-12-07,372050,174.47437727,882889.46202211,882714.98764484,210.55335733,882714.98764484,16316.06685029,0.00046895,0.99980238
2023-12-08,411456,152.55024127,987913.0851614,987760.53492013,51.79122398,987760.53492013,16319.48498509,0.00037076,0.99984558
2023-12-09,587398,140.13969228,619157.08389438,619016.9442021,7.23277206,619016.9442021,16326.66073128,0.00023858,0.99977366
2023-12-10,536175,114.83473182,541554.6250193,541439.79028748,141.14998121,541439.79028748,16281.36998325,0.00021417,0.99978795
2023-12-11,525486,137.61667891,988262.48235744,988124.86567853,226.86189912,988124.86567853,20605.445506,0.00026188,0.99986075
2023-12-12,543162,113.76908514,932181.96497373,932068.19588859,140.22593937,932068.19588859,16324.88113013,0.00020946,0.99987795
2023-12-13,587920,196.74583787,842200.92542239,842004.17958452,122.04806961,842004.17958452,16315.84495716,0.00033465,0.99976639
2023-12-14,570985,334.12679747,831615.66015369,831281.53335622,34.70414759,831281.53335622,16328.69998862,0.00058518,0.99959822
2023-12-15,632636,421.20312245,761695.57248419,761274.36936174,91.17591246,761274.36936174,16328.26140694,0.00066579,0.99944702
2023-12-16,638144,560.36033238,561673.87009673,561113.50976435,94.46609001,561113.50976435,23175.657867,0.00087811,0.99900234
2023-12-17,616808,549.99929455,438313.98402106,437763.98472651,148.7548745,437763.98472651,16344.35697647,0.00089169,0.99874519
2023-12-18,640936,390.73702001,760457.39408999,760066.65706998,153.57948436,760066.65706998,16671.4695144,0.00060964,0.99948618
2023-12-19,662880,436.23455558,738326.54051096,737890.30595538,26.05980272,737890.30595538,16384.22099164,0.00065809,0.99940916
2023-12-20,582506,426.49690508,817530.34280064,817103.84589556,164.08529492,817103.84589556,16373.31530881,0.00073218,0.99947831
2023-12-21,588137,405.34292547,738986.47210429,738581.12917882,176.40012948,738581.12917882,16652.03488564,0.0006892,0.99945149
