DATE,Close,High,Low,Open,Volume
2024-05-24,68526.1015625,69220.296875,66622.671875,67928.1328125,29197308153
2024-05-31,67491.4140625,68999.5625,66633.421875,68362.515625,27387283769
2024-06-07,69342.5859375,71907.8515625,68507.2578125,70759.1875,36188381096
2024-06-14,66011.09375,67294.6484375,65056.89453125,66747.5703125,27403884779
2024-06-21,64096.19921875,65007.546875,63378.89453125,64837.98828125,26188171739
2024-06-28,60320.13671875,62126.09765625,59985.40234375,61612.8046875,24952866877
2024-07-05,56662.375,57497.15234375,53717.375,57022.80859375,55417544033
2024-07-12,57899.46484375,58532.5546875,56590.17578125,57341.1953125,25604805221
2024-07-19,66710.15625,67442.640625,63329.34375,63972.32421875,37003855410
2024-07-26,67912.0625,68207.6015625,65743.765625,65771.8125,30488630457
2024-08-02,61415.06640625,65523.22265625,61184.89453125,65353.5,43060875727
2024-08-09,60880.11328125,61751.86328125,59587.859375,61728.20703125,33425553115
2024-08-16,58894.10546875,59847.359375,57110.01953125,57560.2734375,29350938673
2024-08-23,64094.35546875,64947.0625,60372.05078125,60380.953125,42530509233
2024-08-30,59119.4765625,59896.88671875,57768.53125,59388.6015625,32292756405
2024-09-06,53948.75390625,56976.109375,52598.69921875,56160.19140625,49361693566
2024-09-13,60571.30078125,60648.0234375,57650.11328125,58130.32421875,32490528356
2024-09-20,63192.9765625,64119.53125,62364.60546875,62941.42578125,35177164222
2024-09-27,65790.6640625,66480.6953125,64852.9921875,65180.6640625,32058813449
2024-10-04,62067.4765625,62465.9921875,60459.94140625,60754.625,29585472513
2024-10-11,62445.08984375,63400.87109375,60046.125,60275.4609375,30327141594
2024-10-18,68418.7890625,68969.75,67177.8203125,67419.109375,36857165014
2024-10-25,66642.4140625,68722.15625,65521.79296875,68165.296875,41469984306
2024-11-01,69482.46875,71559.015625,68779.703125,70216.8984375,49989795365
2024-11-08,76545.4765625,77252.75,75648.7421875,75902.8359375,55176858003
2024-11-15,91066.0078125,91868.7421875,87124.8984375,87284.1796875,78243109518
2024-11-22,98997.6640625,99655.5,97222.6640625,98496.4296875,78473580551
2024-11-29,97461.5234375,98693.171875,95407.8828125,95653.953125,54968682476
2024-12-06,99920.7109375,102039.8828125,96514.875,97074.2265625,94534772658
2024-12-13,101459.2578125,101888.8046875,99233.28125,100046.6484375,56894751583
2024-12-20,97755.9296875,98098.9140625,92175.1796875,97484.6953125,105634083408
2024-12-27,94164.859375,97294.84375,93310.7421875,95704.9765625,52419934565
2025-01-03,98107.4296875,98956.9140625,96034.6171875,96881.7265625,35611391163
2025-01-10,94701.453125,95770.609375,92250.09375,92494.4921875,62058693684
2025-01-17,104462.0390625,105884.2265625,99948.90625,100025.765625,71888972663
2025-01-24,104819.484375,107098.546875,102772.125,103965.671875,52388229265
2025-01-31,102405.0234375,106026.3515625,101543.8828125,104737.5625,45732764360
2025-02-07,96529.0859375,100154.140625,95653.8828125,96581.3203125,55741290456
2025-02-14,97508.96875,98819.46875,96342.8046875,96623.3671875,32697987277
2025-02-21,96125.546875,99497.96875,94852.9609375,98340.671875,49608706470
2025-02-28,84373.0078125,85036.3203125,78248.9140625,84705.625,83610570576
2025-03-07,86742.671875,91191.046875,84717.6796875,89963.28125,65945677657
2025-03-14,83969.1015625,85263.2890625,80797.5625,81066.9921875,29588112414
2025-03-21,84043.2421875,84782.2734375,83171.0703125,84164.5390625,19030452299
2025-03-28,84353.1484375,87489.859375,83557.640625,87185.234375,34198619509
2025-04-04,83843.8046875,84696.1484375,81670.75,83100.25,45157640207
2025-04-11,83404.8359375,84247.4765625,78936.3203125,79625.046875,41656778779
2025-04-18,84450.8046875,85095.046875,84298.8828125,84900.1875,12728372364
2025-04-25,94720.5,95768.390625,92898.59375,93954.25,40915232364
2025-05-02,96910.0703125,97905.8984375,96375.9453125,96494.96875,26421924677
2025-05-09,102970.8515625,104297.4921875,102343.09375,103239.125,58198593958
2025-05-16,103489.2890625,104533.484375,103137.4765625,103735.65625,44386499364
