date,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2022-03-02 23:55:00,BTCUSDT,73699.696,3236477930.0224,,,1.0092722717829647,
2022-03-03 00:00:00,BTCUSDT,73698.068,3234507525.43675,,,1.0100734138188925,
2022-04-02 15:45:00,BTCUSDT,73330.512,3390902806.08436,,,1.7703371449028156,
2022-04-02 15:50:00,BTCUSDT,73410.707,3389873178.412999,,,1.7623901213897029,
2022-04-02 15:55:00,BTCUSDT,73350.575,3388759889.7125,,,1.7447843072063836,
2022-04-02 16:00:00,BTCUSDT,73332.423,3394164477.9294376,,,1.7633598932042884,
2022-04-02 16:05:00,BTCUSDT,73333.632,3385397355.7008524,,,1.7747237828693163,
2022-04-02 16:10:00,BTCUSDT,73340.371,3395761853.8194,,,1.7762660935250298,
2022-04-02 16:15:00,BTCUSDT,73330.367,3398177394.635389,,,1.7956350039910935,
2022-04-02 16:20:00,BTCUSDT,73433.216,3400841744.817732,,,1.801559118320691,
2022-04-02 16:25:00,BTCUSDT,73499.839,3401976798.0345,,,1.7989764241966608,
2022-04-02 16:30:00,BTCUSDT,73506.974,3406518440.304953,,,1.7946831633506102,
2022-04-02 16:35:00,BTCUSDT,73528.231,3401342437.8289995,,,1.7833198414181042,
2022-04-02 16:40:00,BTCUSDT,73572.985,3405987767.59,,,1.7760067807822708,
2022-04-02 16:45:00,BTCUSDT,73580.774,3410174551.804,,,1.7732341241214418,
2022-04-02 16:50:00,BTCUSDT,73518.104,3405071934.6227045,,,1.7896442145928095,
2022-04-02 16:55:00,BTCUSDT,73521.829,3405053227.3915,,,1.7858059707672558,
